query	hmm	tlen	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
PE.aln	sp|Q47RJ6|PETH2_THEFY	301	329	5.8e-70	241.6	7e-73	7e-70	241.4	7	326	21	295	1	299	0.92	1	1	0.8358662613981763	1.06312292358804	PE
PEA.aln	sp|P12625|PHB_RALPI	488	540	5.4e-214	716.8	8.3e-218	6.5e-214	716.5	1	540	1	488	1	488	1.0	1	1	0.9037037037037037	1.1065573770491803	PEA
PEF.aln	sp|A0A0K8P6T7|PETH_PISS1	290	290	1.9e-188	629.6	5.4e-192	2.1e-188	629.5	1	290	1	290	1	290	1.0	1	1	1.0	1.0	PEF
PEG.aln	sp|H8ZPX2|SAPD_PSESP	477	668	1.5e-121	412.0	3e-124	1.9e-121	411.7	1	472	1	464	1	470	0.97	1	1	0.6946107784431138	0.989517819706499	PEG
PES.aln	sp|P26495|PHAZ_ECTOL	283	244	1.9e-37	134.4	4.3e-40	2.2e-37	134.3	4	234	7	278	1	282	0.91	1	1	1.1147540983606556	0.8162544169611308	PES
PET.aln	sp|Q47RJ6|PETH2_THEFY	301	309	4.3e-123	415.9	1.3e-125	4.7e-123	415.7	10	290	4	301	1	301	0.93	1	1	0.9644012944983819	0.9335548172757475	PET
PHB.aln	sp|P12625|PHB_RALPI	488	425	1.7e-91	312.7	3.5e-94	2.1e-91	312.4	17	395	17	488	2	488	0.93	1	1	1.1105882352941177	0.7766393442622951	PHB
PHBV.aln	sp|P26495|PHAZ_ECTOL	283	327	7.2e-85	290.3	1e-87	8.8e-85	290.0	3	299	1	280	1	282	0.97	1	1	0.8562691131498471	1.0494699646643109	PHBV
PHO.aln	sp|P26495|PHAZ_ECTOL	283	316	2.1e-118	400.1	2.5e-121	2.3e-118	399.9	55	315	2	278	1	279	0.99	1	1	0.8765822784810127	0.9222614840989399	PHO
PHV.aln	sp|P52090|PHA1_PAULE	414	431	1.4e-165	556.2	3.2e-169	1.9e-165	555.8	2	400	12	392	2	396	0.99	1	1	0.8839907192575406	0.9637681159420289	PHV
PLA.aln	sp|G8GER6|PETH1_THEFU	319	246	1.3e-49	174.3	5.1e-52	1.7e-49	173.9	6	239	31	307	19	318	0.9	1	1	1.1260162601626016	0.7335423197492164	PLA
PS.aln	sp|O06836|STYC_PSEFL	169	168	3.9e-85	288.7	3.1e-90	4.4e-85	288.5	1	167	2	167	2	168	0.98	1	1	0.9880952380952381	0.9881656804733728	PS
PU.aln	sp|Q47RJ6|PETH2_THEFY	301	382	7.5e-102	346.9	1.2e-104	8.9e-102	346.6	35	339	10	300	2	301	0.97	1	1	0.7617801047120419	1.0132890365448506	PU
PVA.aln	sp|P77931|PVADH_PSESP	639	502	1.5e-228	764.5	1.4e-232	1.7e-228	764.3	5	502	5	639	1	639	0.95	1	1	1.2649402390438247	0.7793427230046949	PVA
TP.aln	sp|Q3C1E3|TPDA1_COMSP	413	329	1.3e-149	503.2	1.5e-153	1.5e-149	503.0	1	323	3	413	3	413	0.99	1	1	1.249240121580547	0.7820823244552058	TP
